species	matrix_row	matrix_column	cluster_family	cluster	hox_number	gene_symbol	gene_id	transcript_id	protein_id	cds_rank	seqname	start	end	strand	phase	source
chicken	chicken	B	B	B	7	HOXB7	ENSGALG00010023381	ENSGALT00010056984	ENSGALP00010034652	1	27	3407029	3407428	+	0	ensembl
chicken	chicken	B	B	B	7	HOXB7	ENSGALG00010023381	ENSGALT00010056984	ENSGALP00010034652	2	27	3410041	3410291	+	2	ensembl
chicken	chicken	B	B	B	6	HOXB6	ENSGALG00010023383	ENSGALT00010056993	ENSGALP00010034659	1	27	3420605	3421013	+	0	ensembl
chicken	chicken	B	B	B	6	HOXB6	ENSGALG00010023383	ENSGALT00010056993	ENSGALP00010034659	2	27	3422308	3422564	+	2	ensembl
chicken	chicken	B	B	B	5	HOXB5	ENSGALG00010023394	ENSGALT00010057020	ENSGALP00010034679	1	27	3425779	3426325	+	0	ensembl
chicken	chicken	B	B	B	5	HOXB5	ENSGALG00010023394	ENSGALT00010057020	ENSGALP00010034679	2	27	3427304	3427548	+	2	ensembl
chicken	chicken	B	B	B	4	HOXB4	ENSGALG00010023415	ENSGALT00010057082	ENSGALP00010034719	1	27	3439537	3439596	+	0	ensembl
chicken	chicken	B	B	B	4	HOXB4	ENSGALG00010023415	ENSGALT00010057082	ENSGALP00010034719	2	27	3443206	3443578	+	0	ensembl
chicken	chicken	B	B	B	4	HOXB4	ENSGALG00010023415	ENSGALT00010057082	ENSGALP00010034719	3	27	3444362	3444675	+	2	ensembl
chicken	chicken	B	B	B	3	HOXB3	ENSGALG00010023428	ENSGALT00010057098	ENSGALP00010034731	1	27	3468940	3469375	+	0	ensembl
chicken	chicken	B	B	B	3	HOXB3	ENSGALG00010023428	ENSGALT00010057098	ENSGALP00010034731	2	27	3470425	3471185	+	2	ensembl
chicken	chicken	B	B	B	2	HOXB2	ENSGALG00010023438	ENSGALT00010057108	ENSGALP00010034739	1	27	3477004	3477391	+	0	ensembl
chicken	chicken	B	B	B	2	HOXB2	ENSGALG00010023438	ENSGALT00010057108	ENSGALP00010034739	2	27	3478633	3479213	+	2	ensembl
chicken	chicken	B	B	B	1	HOXB1	ENSGALG00010023454	ENSGALT00010057143	ENSGALP00010034759	1	27	3487403	3488009	+	0	ensembl
chicken	chicken	B	B	B	1	HOXB1	ENSGALG00010023454	ENSGALT00010057143	ENSGALP00010034759	2	27	3488715	3489037	+	2	ensembl
chicken	chicken	C	C	C	13	HOXC13	ENSGALG00010025397	ENSGALT00010062008	ENSGALP00010038297	1	34	908737	909367	-	0	ensembl
chicken	chicken	C	C	C	13	HOXC13	ENSGALG00010025397	ENSGALT00010062008	ENSGALP00010038297	2	34	906478	906731	-	2	ensembl
chicken	chicken	C	C	C	12	HOXC12	ENSGALG00010025552	ENSGALT00010062330	ENSGALP00010038529	1	34	895904	896468	-	0	ensembl
chicken	chicken	C	C	C	12	HOXC12	ENSGALG00010025552	ENSGALT00010062330	ENSGALP00010038529	2	34	894787	895022	-	2	ensembl
chicken	chicken	C	C	C	11	HOXC11	ENSGALG00010025719	ENSGALT00010062760	ENSGALP00010038788	1	34	875475	876144	-	0	ensembl
chicken	chicken	C	C	C	11	HOXC11	ENSGALG00010025719	ENSGALT00010062760	ENSGALP00010038788	2	34	873908	874137	-	2	ensembl
chicken	chicken	C	C	C	10	HOXC10	ENSGALG00010025964	ENSGALT00010063303	ENSGALP00010039076	1	34	861973	862759	-	0	ensembl
chicken	chicken	C	C	C	10	HOXC10	ENSGALG00010025964	ENSGALT00010063303	ENSGALP00010039076	2	34	858738	859012	-	2	ensembl
chicken	chicken	C	C	C	9	HOXC9	ENSGALG00010025958	ENSGALT00010063289	ENSGALP00010039067	1	34	846834	847377	-	0	ensembl
chicken	chicken	C	C	C	9	HOXC9	ENSGALG00010025958	ENSGALT00010063289	ENSGALP00010039067	2	34	844542	844783	-	2	ensembl
chicken	chicken	C	C	C	8	HOXC8	ENSGALG00010025708	ENSGALT00010062742	ENSGALP00010038783	1	34	835464	835899	-	0	ensembl
chicken	chicken	C	C	C	8	HOXC8	ENSGALG00010025708	ENSGALT00010062742	ENSGALP00010038783	2	34	833338	833513	-	2	ensembl
chicken	chicken	C	C	C	8	HOXC8	ENSGALG00010025708	ENSGALT00010062742	ENSGALP00010038783	3	34	833223	833336	-	0	ensembl
chicken	chicken	D	D	D	13	HOXD13	ENSGALG00010024790	ENSGALT00010060513	ENSGALP00010037272	1	7	15949263	15949923	-	0	ensembl
chicken	chicken	D	D	D	13	HOXD13	ENSGALG00010024790	ENSGALT00010060513	ENSGALP00010037272	2	7	15948435	15948682	-	2	ensembl
chicken	chicken	D	D	D	12	HOXD12	ENSGALG00010024782	ENSGALT00010060498	ENSGALP00010037256	1	7	15942731	15943292	-	0	ensembl
chicken	chicken	D	D	D	12	HOXD12	ENSGALG00010024782	ENSGALT00010060498	ENSGALP00010037256	2	7	15942224	15942459	-	2	ensembl
chicken	chicken	D	D	D	11	HOXD11	ENSGALG00010024780	ENSGALT00010060493	ENSGALP00010037252	1	7	15935880	15936486	-	0	ensembl
chicken	chicken	D	D	D	11	HOXD11	ENSGALG00010024780	ENSGALT00010060493	ENSGALP00010037252	2	7	15935048	15935277	-	2	ensembl
chicken	chicken	D	D	D	10	HOXD10	ENSGALG00010026746	ENSGALT00010064884	ENSGALP00010039649	1	7	15926706	15927447	-	0	ensembl
chicken	chicken	D	D	D	10	HOXD10	ENSGALG00010026746	ENSGALT00010064884	ENSGALP00010039649	2	7	15922773	15922993	-	2	ensembl
chicken	chicken	D	D	D	9	HOXD9	ENSGALG00010024763	ENSGALT00010060450	ENSGALP00010037208	1	7	15920601	15921258	-	0	ensembl
chicken	chicken	D	D	D	9	HOXD9	ENSGALG00010024763	ENSGALT00010060450	ENSGALP00010037208	2	7	15919965	15920203	-	2	ensembl
chicken	chicken	D	D	D	8	HOXD8	ENSGALG00010024753	ENSGALT00010060426	ENSGALP00010037185	1	7	15915981	15916085	-	0	ensembl
chicken	chicken	D	D	D	8	HOXD8	ENSGALG00010024753	ENSGALT00010060426	ENSGALP00010037185	2	7	15914822	15914969	-	0	ensembl
chicken	chicken	D	D	D	8	HOXD8	ENSGALG00010024753	ENSGALT00010060426	ENSGALP00010037185	3	7	15914090	15914382	-	2	ensembl
chicken	chicken	D	D	D	4	HOXD4	ENSGALG00010024746	ENSGALT00010060408	ENSGALP00010037167	1	7	15899855	15900263	-	0	ensembl
chicken	chicken	D	D	D	4	HOXD4	ENSGALG00010024746	ENSGALT00010060408	ENSGALP00010037167	2	7	15899255	15899556	-	2	ensembl
chicken	chicken	D	D	D	3	HOXD3	ENSGALG00010024724	ENSGALT00010060354	ENSGALP00010037113	1	7	15886067	15886559	-	0	ensembl
chicken	chicken	D	D	D	3	HOXD3	ENSGALG00010024724	ENSGALT00010060354	ENSGALP00010037113	2	7	15885001	15885746	-	2	ensembl
gar	gar	A	A	A	13	hoxa13b	ENSLOCG00000011842	ENSLOCT00000014591	ENSLOCP00000014562	1	LG11	41168002	41168644	-	0	ensembl
gar	gar	A	A	A	13	hoxa13b	ENSLOCG00000011842	ENSLOCT00000014591	ENSLOCP00000014562	2	LG11	41167340	41167581	-	2	ensembl
gar	gar	A	A	A	11	hoxa11a	ENSLOCG00000011836	ENSLOCT00000014583	ENSLOCP00000014554	1	LG11	41152357	41152969	-	0	ensembl
gar	gar	A	A	A	11	hoxa11a	ENSLOCG00000011836	ENSLOCT00000014583	ENSLOCP00000014554	2	LG11	41151171	41151400	-	2	ensembl
gar	gar	A	A	A	10	hoxa10b	ENSLOCG00000011830	ENSLOCT00000014576	ENSLOCP00000014547	1	LG11	41144664	41145435	-	0	ensembl
gar	gar	A	A	A	10	hoxa10b	ENSLOCG00000011830	ENSLOCT00000014576	ENSLOCP00000014547	2	LG11	41143483	41143757	-	2	ensembl
gar	gar	A	A	A	5	hoxa5a	ENSLOCG00000011819	ENSLOCT00000014559	ENSLOCP00000014530	1	LG11	41121400	41121964	-	0	ensembl
gar	gar	A	A	A	5	hoxa5a	ENSLOCG00000011819	ENSLOCT00000014559	ENSLOCP00000014530	2	LG11	41120391	41120638	-	2	ensembl
gar	gar	A	A	A	3	hoxa3a	ENSLOCG00000011801	ENSLOCT00000014553	ENSLOCP00000014524	1	LG11	41095217	41095715	-	0	ensembl
gar	gar	A	A	A	3	hoxa3a	ENSLOCG00000011801	ENSLOCT00000014553	ENSLOCP00000014524	2	LG11	41092362	41093143	-	2	ensembl
gar	gar	A	A	A	1	hoxa1a	ENSLOCG00000011798	ENSLOCT00000014534	ENSLOCP00000014505	1	LG11	41081207	41081825	-	0	ensembl
gar	gar	A	A	A	1	hoxa1a	ENSLOCG00000011798	ENSLOCT00000014534	ENSLOCP00000014505	2	LG11	41080532	41080881	-	2	ensembl
gar	gar	B	B	B	13	hoxb13a	ENSLOCG00000013457	ENSLOCT00000016621	ENSLOCP00000016590	1	LG15	9279103	9279778	-	0	ensembl
gar	gar	B	B	B	13	hoxb13a	ENSLOCG00000013457	ENSLOCT00000016621	ENSLOCP00000016590	2	LG15	9278375	9278619	-	2	ensembl
gar	gar	B	B	B	10	hoxb10a	ENSLOCG00000013455	ENSLOCT00000016617	ENSLOCP00000016587	1	LG15	9249894	9250527	-	0	ensembl
gar	gar	B	B	B	10	hoxb10a	ENSLOCG00000013455	ENSLOCT00000016617	ENSLOCP00000016587	2	LG15	9247542	9247813	-	2	ensembl
gar	gar	B	B	B	9	hoxb9a	ENSLOCG00000013453	ENSLOCT00000016614	ENSLOCP00000016584	1	LG15	9238613	9239126	-	0	ensembl
gar	gar	B	B	B	9	hoxb9a	ENSLOCG00000013453	ENSLOCT00000016614	ENSLOCP00000016584	2	LG15	9235161	9235393	-	2	ensembl
gar	gar	B	B	B	8	hoxb8b	ENSLOCG00000013451	ENSLOCT00000016611	ENSLOCP00000016581	1	LG15	9227199	9227622	-	0	ensembl
gar	gar	B	B	B	8	hoxb8b	ENSLOCG00000013451	ENSLOCT00000016611	ENSLOCP00000016581	2	LG15	9226271	9226581	-	2	ensembl
gar	gar	B	B	B	7	hoxb7a	ENSLOCG00000013448	ENSLOCT00000016609	ENSLOCP00000016579	1	LG15	9223640	9224048	-	0	ensembl
gar	gar	B	B	B	7	hoxb7a	ENSLOCG00000013448	ENSLOCT00000016609	ENSLOCP00000016579	2	LG15	9219774	9220030	-	2	ensembl
gar	gar	B	B	B	6	hoxb6a	ENSLOCG00000013443	ENSLOCT00000016606	ENSLOCP00000016576	1	LG15	9209700	9210126	-	0	ensembl
gar	gar	B	B	B	6	hoxb6a	ENSLOCG00000013443	ENSLOCT00000016606	ENSLOCP00000016576	2	LG15	9208081	9208337	-	2	ensembl
gar	gar	B	B	B	5	hoxb5a	ENSLOCG00000013440	ENSLOCT00000016601	ENSLOCP00000016571	1	LG15	9204645	9205242	-	0	ensembl
gar	gar	B	B	B	5	hoxb5a	ENSLOCG00000013440	ENSLOCT00000016601	ENSLOCP00000016571	2	LG15	9203667	9203911	-	2	ensembl
gar	gar	B	B	B	3	hoxb3a	ENSLOCG00000013436	ENSLOCT00000016597	ENSLOCP00000016567	1	LG15	9161408	9161870	-	0	ensembl
gar	gar	B	B	B	3	hoxb3a	ENSLOCG00000013436	ENSLOCT00000016597	ENSLOCP00000016567	2	LG15	9159548	9160299	-	2	ensembl
gar	gar	B	B	B	1	HOXB1	ENSLOCG00000013432	ENSLOCT00000016589	ENSLOCP00000016561	1	LG15	9137840	9138449	-	0	ensembl
gar	gar	B	B	B	1	HOXB1	ENSLOCG00000013432	ENSLOCT00000016589	ENSLOCP00000016561	2	LG15	9136492	9136814	-	2	ensembl
gar	gar	C	C	C	13	hoxc13b	ENSLOCG00000006295	ENSLOCT00000007611	ENSLOCP00000007602	1	LG4	15782671	15783334	+	0	ensembl
gar	gar	C	C	C	13	hoxc13b	ENSLOCG00000006295	ENSLOCT00000007611	ENSLOCP00000007602	2	LG4	15787897	15788153	+	2	ensembl
gar	gar	C	C	C	12	hoxc12a	ENSLOCG00000006304	ENSLOCT00000007621	ENSLOCP00000007612	1	LG4	15802629	15803226	+	0	ensembl
gar	gar	C	C	C	12	hoxc12a	ENSLOCG00000006304	ENSLOCT00000007621	ENSLOCP00000007612	2	LG4	15804475	15804710	+	2	ensembl
gar	gar	C	C	C	11	hoxc11a	ENSLOCG00000006316	ENSLOCT00000007649	ENSLOCP00000007640	1	LG4	15825406	15825969	+	0	ensembl
gar	gar	C	C	C	11	hoxc11a	ENSLOCG00000006316	ENSLOCT00000007649	ENSLOCP00000007640	2	LG4	15828973	15828993	+	0	ensembl
gar	gar	C	C	C	11	hoxc11a	ENSLOCG00000006316	ENSLOCT00000007649	ENSLOCP00000007640	3	LG4	15834787	15834801	+	0	ensembl
gar	gar	C	C	C	11	hoxc11a	ENSLOCG00000006316	ENSLOCT00000007649	ENSLOCP00000007640	4	LG4	15838812	15839631	+	0	ensembl
gar	gar	C	C	C	11	hoxc11a	ENSLOCG00000006316	ENSLOCT00000007649	ENSLOCP00000007640	5	LG4	15843614	15843888	+	2	ensembl
gar	gar	C	C	C	5	hoxc5a	ENSLOCG00000006365	ENSLOCT00000007689	ENSLOCP00000007680	1	LG4	15904039	15904558	+	0	ensembl
gar	gar	C	C	C	5	hoxc5a	ENSLOCG00000006365	ENSLOCT00000007689	ENSLOCP00000007680	2	LG4	15905546	15905757	+	2	ensembl
gar	gar	C	C	C	4	hoxc4a	ENSLOCG00000006379	ENSLOCT00000007709	ENSLOCP00000007700	1	LG4	15935827	15936276	+	0	ensembl
gar	gar	C	C	C	4	hoxc4a	ENSLOCG00000006379	ENSLOCT00000007709	ENSLOCP00000007700	2	LG4	15936504	15936507	+	0	ensembl
gar	gar	C	C	C	4	hoxc4a	ENSLOCG00000006379	ENSLOCT00000007709	ENSLOCP00000007700	3	LG4	15936866	15937260	+	2	ensembl
gar	gar	C	C	C	3	hoxc3	ENSLOCG00000006407	ENSLOCT00000007748	ENSLOCP00000007739	1	LG4	15971868	15972315	+	0	ensembl
gar	gar	C	C	C	3	hoxc3	ENSLOCG00000006407	ENSLOCT00000007748	ENSLOCP00000007739	2	LG4	15981245	15981996	+	2	ensembl
gar	gar	D	D	D	13	HOXD13	ENSLOCG00000007161	ENSLOCT00000008672	ENSLOCP00000008662	1	LG12	15586674	15587283	-	0	ensembl
gar	gar	D	D	D	13	HOXD13	ENSLOCG00000007161	ENSLOCT00000008672	ENSLOCP00000008662	2	LG12	15585332	15585585	-	2	ensembl
gar	gar	D	D	D	12	hoxd12a	ENSLOCG00000007146	ENSLOCT00000008661	ENSLOCP00000008651	1	LG12	15580395	15580968	-	0	ensembl
gar	gar	D	D	D	12	hoxd12a	ENSLOCG00000007146	ENSLOCT00000008661	ENSLOCP00000008651	2	LG12	15579869	15580104	-	2	ensembl
gar	gar	D	D	D	11	hoxd11a	ENSLOCG00000007133	ENSLOCT00000008642	ENSLOCP00000008632	1	LG12	15573806	15574496	-	0	ensembl
gar	gar	D	D	D	11	hoxd11a	ENSLOCG00000007133	ENSLOCT00000008642	ENSLOCP00000008632	2	LG12	15572996	15573225	-	2	ensembl
gar	gar	D	D	D	10	hoxd10a	ENSLOCG00000007118	ENSLOCT00000008627	ENSLOCP00000008617	1	LG12	15566565	15567303	-	0	ensembl
gar	gar	D	D	D	10	hoxd10a	ENSLOCG00000007118	ENSLOCT00000008627	ENSLOCP00000008617	2	LG12	15565219	15565490	-	2	ensembl
gar	gar	D	D	D	9	hoxd9a	ENSLOCG00000007106	ENSLOCT00000008613	ENSLOCP00000008603	1	LG12	15561015	15561564	-	0	ensembl
gar	gar	D	D	D	9	hoxd9a	ENSLOCG00000007106	ENSLOCT00000008613	ENSLOCP00000008603	2	LG12	15560435	15560676	-	2	ensembl
gar	gar	D	D	D	8	hoxd8	ENSLOCG00000007085	ENSLOCT00000008589	ENSLOCP00000008579	1	LG12	15555397	15555850	-	0	ensembl
gar	gar	D	D	D	8	hoxd8	ENSLOCG00000007085	ENSLOCT00000008589	ENSLOCP00000008579	2	LG12	15554888	15555165	-	2	ensembl
gar	gar	D	D	D	4	hoxd4a	ENSLOCG00000007074	ENSLOCT00000008571	ENSLOCP00000008561	1	LG12	15543047	15543515	-	0	ensembl
gar	gar	D	D	D	4	hoxd4a	ENSLOCG00000007074	ENSLOCT00000008571	ENSLOCP00000008561	2	LG12	15542334	15542632	-	2	ensembl
gar	gar	D	D	D	3	hoxd3a	ENSLOCG00000007043	ENSLOCT00000008533	ENSLOCP00000008523	1	LG12	15527223	15527658	-	0	ensembl
gar	gar	D	D	D	3	hoxd3a	ENSLOCG00000007043	ENSLOCT00000008533	ENSLOCP00000008523	2	LG12	15525111	15525856	-	2	ensembl
gar	gar	D	D	D	2	hoxd2	ENSLOCG00000007028	ENSLOCT00000008519	ENSLOCP00000008509	1	LG12	15522722	15523067	-	0	ensembl
gar	gar	D	D	D	2	hoxd2	ENSLOCG00000007028	ENSLOCT00000008519	ENSLOCP00000008509	2	LG12	15521772	15522415	-	2	ensembl
gar	gar	D	D	D	1	hoxd1	ENSLOCG00000007019	ENSLOCT00000008504	ENSLOCP00000008494	1	LG12	15517019	15517571	-	0	ensembl
gar	gar	D	D	D	1	hoxd1	ENSLOCG00000007019	ENSLOCT00000008504	ENSLOCP00000008494	2	LG12	15516500	15516825	-	2	ensembl
zebrafish	zebrafish_a	A	A	AA	13	hoxa13a	ENSDARG00000100312	ENSDART00000171610	ENSDARP00000135830	1	19	19729608	19730292	+	0	ensembl_havana
zebrafish	zebrafish_a	A	A	AA	13	hoxa13a	ENSDARG00000100312	ENSDART00000171610	ENSDARP00000135830	2	19	19730410	19730654	+	2	ensembl_havana
zebrafish	zebrafish_a	A	A	AA	11	hoxa11a	ENSDARG00000104162	ENSDART00000160283	ENSDARP00000131862	1	19	19737300	19737921	+	0	ensembl_havana
zebrafish	zebrafish_a	A	A	AA	11	hoxa11a	ENSDARG00000104162	ENSDART00000160283	ENSDARP00000131862	2	19	19738635	19738864	+	2	ensembl_havana
zebrafish	zebrafish_a	A	A	AA	9	hoxa9a	ENSDARG00000105013	ENSDART00000166129	ENSDARP00000139889	1	19	19750178	19750691	+	0	havana
zebrafish	zebrafish_a	A	A	AA	9	hoxa9a	ENSDARG00000105013	ENSDART00000166129	ENSDARP00000139889	2	19	19750985	19751220	+	2	havana
zebrafish	zebrafish_a	A	A	AA	5	hoxa5a	ENSDARG00000102501	ENSDART00000169480	ENSDARP00000133102	1	19	19759582	19760128	+	0	ensembl_havana
zebrafish	zebrafish_a	A	A	AA	5	hoxa5a	ENSDARG00000102501	ENSDART00000169480	ENSDARP00000133102	2	19	19760636	19760883	+	2	ensembl_havana
zebrafish	zebrafish_a	A	A	AA	4	hoxa4a	ENSDARG00000100358	ENSDART00000170697	ENSDARP00000137315	1	19	19750223	19750691	+	0	havana
zebrafish	zebrafish_a	A	A	AA	4	hoxa4a	ENSDARG00000100358	ENSDART00000170697	ENSDARP00000137315	2	19	19762203	19762219	+	2	havana
zebrafish	zebrafish_a	A	A	AA	3	hoxa3a	ENSDARG00000103862	ENSDART00000167606	ENSDARP00000139163	1	19	19777687	19777710	+	0	havana
zebrafish	zebrafish_a	A	A	AA	1	hoxa1a	ENSDARG00000104307	ENSDART00000167757	ENSDARP00000133272	1	19	19786213	19786852	+	0	ensembl_havana
zebrafish	zebrafish_a	A	A	AA	1	hoxa1a	ENSDARG00000104307	ENSDART00000167757	ENSDARP00000133272	2	19	19787048	19787394	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	13	hoxb13a	ENSDARG00000056015	ENSDART00000078428	ENSDARP00000072890	1	3	23654327	23654990	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	13	hoxb13a	ENSDARG00000056015	ENSDART00000078428	ENSDARP00000072890	2	3	23655423	23655667	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	10	hoxb10a	ENSDARG00000011579	ENSDART00000111227	ENSDARP00000099793	1	3	23669317	23669689	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	10	hoxb10a	ENSDARG00000011579	ENSDART00000111227	ENSDARP00000099793	2	3	23670870	23671138	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	9	hoxb9a	ENSDARG00000056023	ENSDART00000023674	ENSDARP00000022169	1	3	23677501	23678014	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	9	hoxb9a	ENSDARG00000056023	ENSDART00000023674	ENSDARP00000022169	2	3	23680524	23680756	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	8	hoxb8a	ENSDARG00000056027	ENSDART00000046638	ENSDARP00000046637	1	3	23688288	23688711	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	8	hoxb8a	ENSDARG00000056027	ENSDART00000046638	ENSDARP00000046637	2	3	23689468	23689778	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	7	hoxb7a	ENSDARG00000056030	ENSDART00000078453	ENSDARP00000072915	1	3	23691847	23692270	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	7	hoxb7a	ENSDARG00000056030	ENSDART00000078453	ENSDARP00000072915	2	3	23695502	23695758	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	6	hoxb6a	ENSDARG00000010630	ENSDART00000024256	ENSDARP00000002263	1	3	23703704	23704133	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	6	hoxb6a	ENSDARG00000010630	ENSDART00000024256	ENSDARP00000002263	2	3	23705188	23705441	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	5	hoxb5a	ENSDARG00000013057	ENSDART00000025449	ENSDARP00000004270	1	3	23707787	23708366	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	5	hoxb5a	ENSDARG00000013057	ENSDART00000025449	ENSDARP00000004270	2	3	23708982	23709226	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	4	hoxb4a	ENSDARG00000013533	ENSDART00000151584	ENSDARP00000125694	1	3	23710939	23710939	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	4	hoxb4a	ENSDARG00000013533	ENSDART00000151584	ENSDARP00000125694	2	3	23723172	23723485	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	3	hoxb3a	ENSDARG00000029263	ENSDART00000184299	ENSDARP00000155326	1	3	23746135	23746627	+	0	ensembl
zebrafish	zebrafish_a	B	B	BA	3	hoxb3a	ENSDARG00000029263	ENSDART00000184299	ENSDARP00000155326	2	3	23747300	23748057	+	2	ensembl
zebrafish	zebrafish_a	B	B	BA	2	hoxb2a	ENSDARG00000000175	ENSDART00000146636	ENSDARP00000118498	1	3	23752216	23752711	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	2	hoxb2a	ENSDARG00000000175	ENSDART00000146636	ENSDARP00000118498	2	3	23753562	23754292	+	2	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	1	hoxb1a	ENSDARG00000008174	ENSDART00000110682	ENSDARP00000101854	1	3	23768937	23769570	+	0	ensembl_havana
zebrafish	zebrafish_a	B	B	BA	1	hoxb1a	ENSDARG00000008174	ENSDART00000110682	ENSDARP00000101854	2	3	23770309	23770622	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	13	hoxc13a	ENSDARG00000070353	ENSDART00000103149	ENSDARP00000093923	1	23	36052978	36053641	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	13	hoxc13a	ENSDARG00000070353	ENSDART00000103149	ENSDARP00000093923	2	23	36055423	36055676	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	12	hoxc12a	ENSDARG00000070352	ENSDART00000103147	ENSDARP00000093921	1	23	36063599	36064184	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	12	hoxc12a	ENSDARG00000070352	ENSDART00000103147	ENSDARP00000093921	2	23	36064944	36065179	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	11	hoxc11a	ENSDARG00000070351	ENSDART00000133760	ENSDARP00000120202	1	23	36074909	36075600	+	0	havana
zebrafish	zebrafish_a	C	C	CA	11	hoxc11a	ENSDARG00000070351	ENSDART00000133760	ENSDARP00000120202	2	23	36076981	36077194	+	1	havana
zebrafish	zebrafish_a	C	C	CA	10	hoxc10a	ENSDARG00000070348	ENSDART00000184107	ENSDARP00000147493	1	23	36083617	36084355	+	0	ensembl
zebrafish	zebrafish_a	C	C	CA	10	hoxc10a	ENSDARG00000070348	ENSDART00000184107	ENSDARP00000147493	2	23	36086092	36086363	+	2	ensembl
zebrafish	zebrafish_a	C	C	CA	9	hoxc9a	ENSDARG00000092809	ENSDART00000127384	ENSDARP00000105244	1	23	36095339	36095906	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	9	hoxc9a	ENSDARG00000092809	ENSDART00000127384	ENSDARP00000105244	2	23	36096966	36097207	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	8	hoxc8a	ENSDARG00000070346	ENSDART00000103139	ENSDARP00000093913	1	23	36101447	36101882	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	8	hoxc8a	ENSDARG00000070346	ENSDART00000103139	ENSDARP00000093913	2	23	36103148	36103461	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	6	hoxc6a	ENSDARG00000070343	ENSDART00000130090	ENSDARP00000107797	1	23	36115541	36115874	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	6	hoxc6a	ENSDARG00000070343	ENSDART00000130090	ENSDARP00000107797	2	23	36116485	36116774	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	5	hoxc5a	ENSDARG00000070340	ENSDART00000139319	ENSDARP00000121862	1	23	36118798	36119224	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	5	hoxc5a	ENSDARG00000070340	ENSDART00000139319	ENSDARP00000121862	2	23	36120043	36120254	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	4	hoxc4a	ENSDARG00000070338	ENSDART00000103132	ENSDARP00000093906	1	23	36131063	36131495	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	4	hoxc4a	ENSDARG00000070338	ENSDART00000103132	ENSDARP00000093906	2	23	36132016	36132386	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	3	hoxc3a	ENSDARG00000070339	ENSDART00000154825	ENSDARP00000129398	1	23	36145038	36145193	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	3	hoxc3a	ENSDARG00000070339	ENSDART00000154825	ENSDARP00000129398	2	23	36145384	36145651	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	3	hoxc3a	ENSDARG00000070339	ENSDART00000154825	ENSDARP00000129398	3	23	36147701	36148048	+	2	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	1	hoxc1a	ENSDARG00000070337	ENSDART00000103131	ENSDARP00000093905	1	23	36178104	36178668	+	0	ensembl_havana
zebrafish	zebrafish_a	C	C	CA	1	hoxc1a	ENSDARG00000070337	ENSDART00000103131	ENSDARP00000093905	2	23	36183154	36183494	+	2	ensembl_havana
zebrafish	zebrafish_a	D	D	DA	13	hoxd13a	ENSDARG00000059256	ENSDART00000082332	ENSDARP00000076768	1	9	1989703	1990240	-	0	ensembl_havana
zebrafish	zebrafish_a	D	D	DA	13	hoxd13a	ENSDARG00000059256	ENSDART00000082332	ENSDARP00000076768	2	9	1987652	1987881	-	2	ensembl_havana
zebrafish	zebrafish_a	D	D	DA	12	hoxd12a	ENSDARG00000059263	ENSDART00000142842	ENSDARP00000121699	1	9	1984031	1984580	-	0	havana
