species	matrix_row	matrix_column	cluster	hox_number	slot	slot_state	expected_functional_member	gene_symbol	gene_id	transcript_id	state_note
gar	gar	D	D	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
gar	gar	D	D	14	Hox14	recognizable_pseudogene_not_plotted	FALSE				A recognizable gar HoxD14 pseudogene is present but is excluded from the 43 protein-coding members and from gene boxes.
gar	gar	D	D	13	Hox13	plotted_gene_model	TRUE	HOXD13	ENSLOCG00000007161	ENSLOCT00000008672	
gar	gar	D	D	12	Hox12	plotted_gene_model	TRUE	hoxd12a	ENSLOCG00000007146	ENSLOCT00000008661	
gar	gar	D	D	11	Hox11	plotted_gene_model	TRUE	hoxd11a	ENSLOCG00000007133	ENSLOCT00000008642	
gar	gar	D	D	10	Hox10	plotted_gene_model	TRUE	hoxd10a	ENSLOCG00000007118	ENSLOCT00000008627	
gar	gar	D	D	9	Hox9	plotted_gene_model	TRUE	hoxd9a	ENSLOCG00000007106	ENSLOCT00000008613	
gar	gar	D	D	8	Hox8	plotted_gene_model	TRUE	hoxd8	ENSLOCG00000007085	ENSLOCT00000008589	
gar	gar	D	D	7	Hox7	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
gar	gar	D	D	6	Hox6	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
gar	gar	D	D	5	Hox5	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
gar	gar	D	D	4	Hox4	plotted_gene_model	TRUE	hoxd4a	ENSLOCG00000007074	ENSLOCT00000008571	
gar	gar	D	D	3	Hox3	plotted_gene_model	TRUE	hoxd3a	ENSLOCG00000007043	ENSLOCT00000008533	
gar	gar	D	D	2	Hox2	plotted_gene_model	TRUE	hoxd2	ENSLOCG00000007028	ENSLOCT00000008519	
gar	gar	D	D	1	Hox1	plotted_gene_model	TRUE	hoxd1	ENSLOCG00000007019	ENSLOCT00000008504	
zebrafish	zebrafish_a	A	AA	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	13	Hox13	plotted_gene_model	TRUE	hoxa13a	ENSDARG00000100312	ENSDART00000171610	
zebrafish	zebrafish_a	A	AA	12	Hox12	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	11	Hox11	plotted_gene_model	TRUE	hoxa11a	ENSDARG00000104162	ENSDART00000160283	
zebrafish	zebrafish_a	A	AA	10	Hox10	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	9	Hox9	plotted_gene_model	TRUE	hoxa9a	ENSDARG00000105013	ENSDART00000166129	
zebrafish	zebrafish_a	A	AA	8	Hox8	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	7	Hox7	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	6	Hox6	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	5	Hox5	plotted_gene_model	TRUE	hoxa5a	ENSDARG00000102501	ENSDART00000169480	
zebrafish	zebrafish_a	A	AA	4	Hox4	plotted_gene_model	TRUE	hoxa4a	ENSDARG00000100358	ENSDART00000170697	
zebrafish	zebrafish_a	A	AA	3	Hox3	plotted_gene_model	TRUE	hoxa3a	ENSDARG00000103862	ENSDART00000167606	
zebrafish	zebrafish_a	A	AA	2	Hox2	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	A	AA	1	Hox1	plotted_gene_model	TRUE	hoxa1a	ENSDARG00000104307	ENSDART00000167757	
zebrafish	zebrafish_a	B	BA	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	B	BA	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	B	BA	13	Hox13	plotted_gene_model	TRUE	hoxb13a	ENSDARG00000056015	ENSDART00000078428	
zebrafish	zebrafish_a	B	BA	12	Hox12	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	B	BA	11	Hox11	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	B	BA	10	Hox10	plotted_gene_model	TRUE	hoxb10a	ENSDARG00000011579	ENSDART00000111227	
zebrafish	zebrafish_a	B	BA	9	Hox9	plotted_gene_model	TRUE	hoxb9a	ENSDARG00000056023	ENSDART00000023674	
zebrafish	zebrafish_a	B	BA	8	Hox8	plotted_gene_model	TRUE	hoxb8a	ENSDARG00000056027	ENSDART00000046638	
zebrafish	zebrafish_a	B	BA	7	Hox7	plotted_gene_model	TRUE	hoxb7a	ENSDARG00000056030	ENSDART00000078453	
zebrafish	zebrafish_a	B	BA	6	Hox6	plotted_gene_model	TRUE	hoxb6a	ENSDARG00000010630	ENSDART00000024256	
zebrafish	zebrafish_a	B	BA	5	Hox5	plotted_gene_model	TRUE	hoxb5a	ENSDARG00000013057	ENSDART00000025449	
zebrafish	zebrafish_a	B	BA	4	Hox4	plotted_gene_model	TRUE	hoxb4a	ENSDARG00000013533	ENSDART00000151584	
zebrafish	zebrafish_a	B	BA	3	Hox3	plotted_gene_model	TRUE	hoxb3a	ENSDARG00000029263	ENSDART00000184299	
zebrafish	zebrafish_a	B	BA	2	Hox2	plotted_gene_model	TRUE	hoxb2a	ENSDARG00000000175	ENSDART00000146636	
zebrafish	zebrafish_a	B	BA	1	Hox1	plotted_gene_model	TRUE	hoxb1a	ENSDARG00000008174	ENSDART00000110682	
zebrafish	zebrafish_a	C	CA	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	C	CA	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	C	CA	13	Hox13	plotted_gene_model	TRUE	hoxc13a	ENSDARG00000070353	ENSDART00000103149	
zebrafish	zebrafish_a	C	CA	12	Hox12	plotted_gene_model	TRUE	hoxc12a	ENSDARG00000070352	ENSDART00000103147	
zebrafish	zebrafish_a	C	CA	11	Hox11	plotted_gene_model	TRUE	hoxc11a	ENSDARG00000070351	ENSDART00000133760	
zebrafish	zebrafish_a	C	CA	10	Hox10	plotted_gene_model	TRUE	hoxc10a	ENSDARG00000070348	ENSDART00000184107	
zebrafish	zebrafish_a	C	CA	9	Hox9	plotted_gene_model	TRUE	hoxc9a	ENSDARG00000092809	ENSDART00000127384	
zebrafish	zebrafish_a	C	CA	8	Hox8	plotted_gene_model	TRUE	hoxc8a	ENSDARG00000070346	ENSDART00000103139	
zebrafish	zebrafish_a	C	CA	7	Hox7	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	C	CA	6	Hox6	plotted_gene_model	TRUE	hoxc6a	ENSDARG00000070343	ENSDART00000130090	
zebrafish	zebrafish_a	C	CA	5	Hox5	plotted_gene_model	TRUE	hoxc5a	ENSDARG00000070340	ENSDART00000139319	
zebrafish	zebrafish_a	C	CA	4	Hox4	plotted_gene_model	TRUE	hoxc4a	ENSDARG00000070338	ENSDART00000103132	
zebrafish	zebrafish_a	C	CA	3	Hox3	plotted_gene_model	TRUE	hoxc3a	ENSDARG00000070339	ENSDART00000154825	
zebrafish	zebrafish_a	C	CA	2	Hox2	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	C	CA	1	Hox1	plotted_gene_model	TRUE	hoxc1a	ENSDARG00000070337	ENSDART00000103131	
zebrafish	zebrafish_a	D	DA	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	D	DA	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	D	DA	13	Hox13	plotted_gene_model	TRUE	hoxd13a	ENSDARG00000059256	ENSDART00000082332	
zebrafish	zebrafish_a	D	DA	12	Hox12	plotted_gene_model	TRUE	hoxd12a	ENSDARG00000059263	ENSDART00000142842	
zebrafish	zebrafish_a	D	DA	11	Hox11	plotted_gene_model	TRUE	hoxd11a	ENSDARG00000059267	ENSDART00000082344	
zebrafish	zebrafish_a	D	DA	10	Hox10	plotted_gene_model	TRUE	hoxd10a	ENSDARG00000057859	ENSDART00000080608	
zebrafish	zebrafish_a	D	DA	9	Hox9	plotted_gene_model	TRUE	hoxd9a	ENSDARG00000059274	ENSDART00000082354	
zebrafish	zebrafish_a	D	DA	8	Hox8	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	D	DA	7	Hox7	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	D	DA	6	Hox6	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	D	DA	5	Hox5	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	D	DA	4	Hox4	plotted_gene_model	TRUE	hoxd4a	ENSDARG00000059276	ENSDART00000082355	
zebrafish	zebrafish_a	D	DA	3	Hox3	plotted_gene_model	TRUE	hoxd3a	ENSDARG00000059280	ENSDART00000082359	
zebrafish	zebrafish_a	D	DA	2	Hox2	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_a	D	DA	1	Hox1	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	13	Hox13	plotted_gene_model	TRUE	hoxa13b	ENSDARG00000036254	ENSDART00000052662	
zebrafish	zebrafish_b	A	AB	12	Hox12	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	11	Hox11	plotted_gene_model	TRUE	hoxa11b	ENSDARG00000007009	ENSDART00000006043	
zebrafish	zebrafish_b	A	AB	10	Hox10	plotted_gene_model	TRUE	hoxa10b	ENSDARG00000031337	ENSDART00000046766	
zebrafish	zebrafish_b	A	AB	9	Hox9	plotted_gene_model	TRUE	hoxa9b	ENSDARG00000056819	ENSDART00000079383	
zebrafish	zebrafish_b	A	AB	8	Hox8	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	7	Hox7	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	6	Hox6	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	5	Hox5	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	4	Hox4	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	3	Hox3	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	A	AB	2	Hox2	plotted_gene_model	TRUE	hoxa2b	ENSDARG00000023031	ENSDART00000009827	
zebrafish	zebrafish_b	A	AB	1	Hox1	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	13	Hox13	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	12	Hox12	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	11	Hox11	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	10	Hox10	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	9	Hox9	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	8	Hox8	plotted_gene_model	TRUE	hoxb8b	ENSDARG00000054025	ENSDART00000076154	
zebrafish	zebrafish_b	B	BB	7	Hox7	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	6	Hox6	plotted_gene_model	TRUE	hoxb6b	ENSDARG00000026513	ENSDART00000025966	
zebrafish	zebrafish_b	B	BB	5	Hox5	plotted_gene_model	TRUE	hoxb5b	ENSDARG00000054030	ENSDART00000076161	
zebrafish	zebrafish_b	B	BB	4	Hox4	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	3	Hox3	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	2	Hox2	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	B	BB	1	Hox1	plotted_gene_model	TRUE	hoxb1b	ENSDARG00000054033	ENSDART00000136415	
zebrafish	zebrafish_b	C	CB	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	13	Hox13	plotted_gene_model	TRUE	hoxc13b	ENSDARG00000113877	ENSDART00000182896	
zebrafish	zebrafish_b	C	CB	12	Hox12	plotted_gene_model	TRUE	hoxc12b	ENSDARG00000103133	ENSDART00000170593	
zebrafish	zebrafish_b	C	CB	11	Hox11	plotted_gene_model	TRUE	hoxc11b	ENSDARG00000102631	ENSDART00000186854	
zebrafish	zebrafish_b	C	CB	10	Hox10	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	9	Hox9	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	8	Hox8	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	7	Hox7	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	6	Hox6	plotted_gene_model	TRUE	hoxc6b	ENSDARG00000101954	ENSDART00000160515	
zebrafish	zebrafish_b	C	CB	5	Hox5	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	4	Hox4	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	3	Hox3	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	2	Hox2	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
zebrafish	zebrafish_b	C	CB	1	Hox1	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
amphioxus	amphioxus	A	ancestral	15	Hox15	plotted_gene_model	TRUE	Hox15	BL12289	BL12289_cuf1	
amphioxus	amphioxus	A	ancestral	14	Hox14	plotted_gene_model	TRUE	Hox14	BL01409	BL01409_evm0	
amphioxus	amphioxus	A	ancestral	13	Hox13	annotation_gap_expected_functional_member	TRUE	Hox13			No release-63 BraLan2 gene model lies between the collinearly mapped Hox12 and Hox14 models; this is an annotation gap, not inferred loss.
amphioxus	amphioxus	A	ancestral	12	Hox12	plotted_gene_model	TRUE	Hox12	BL14546	BL14546_evm1	
amphioxus	amphioxus	A	ancestral	11	Hox11	plotted_gene_model	TRUE	Hox11	BL11265	BL11265_evm0	
amphioxus	amphioxus	A	ancestral	10	Hox10	plotted_gene_model	TRUE	Hox10	BL01497	BL01497_evm0	
amphioxus	amphioxus	A	ancestral	9	Hox9	plotted_gene_model	TRUE	Hox9	BL02690	BL02690_evm0	
amphioxus	amphioxus	A	ancestral	8	Hox8	plotted_gene_model	TRUE	Hox8	BL01142	BL01142_evm0	
amphioxus	amphioxus	A	ancestral	7	Hox7	plotted_gene_model	TRUE	Hox7	BL02747	BL02747_evm1	
amphioxus	amphioxus	A	ancestral	6	Hox6	plotted_gene_model	TRUE	Hox6	BL02721	BL02721_evm0	
amphioxus	amphioxus	A	ancestral	5	Hox5	plotted_gene_model	TRUE	Hox5	BL22794	BL22794_evm0	
amphioxus	amphioxus	A	ancestral	4	Hox4	plotted_gene_model	TRUE	Hox4	BL01764	BL01764_evm0	
amphioxus	amphioxus	A	ancestral	3	Hox3	plotted_gene_model	TRUE	Hox3	BL11259	BL11259_evm0	
amphioxus	amphioxus	A	ancestral	2	Hox2	plotted_gene_model	TRUE	Hox2	BL11262	BL11262_cuf5	
amphioxus	amphioxus	A	ancestral	1	Hox1	plotted_gene_model	TRUE	Hox1	BL06042	BL06042_cuf1	
